id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45130784,Large And Cozy Room at 4. Levent,190340525,Haydar,,Kagithane,41.08172,29.00354,Private room,80,15,0,,,1,240
45131250,Alyon Suite taksim,364462994,Gül,,Beyoglu,41.03449,28.98259,Private room,298,2,0,,,1,180
45131368,4+1 Superior Apartment,357399095,Muhammer,,Sisli,41.05686,28.99054,Entire home/apt,1047,1,1,2020-09-14,0.68,13,344
45131805,"A Deluxe room Great condition, Brand new & Central",265348694,Nael,,Beyoglu,41.0375,28.97491,Private room,106,1,8,2020-10-25,4.80,17,327
45132714,GRAND BAZAAR  HAGİA SOPHİA MOSQUE,25681900,Serkan,,Fatih,41.00177,28.97861,Private room,149,1,0,,,10,365
45133595,High Ceiling Studio Flat in the heart of Şişli,209305482,Rojwan,,Sisli,41.05026,28.98641,Entire home/apt,220,1,2,2020-09-15,1.15,8,266
45133628,Taksim Wide Suites Superior Room for 4 persons,364481105,Selçuk,,Sisli,41.0453,28.98606,Entire home/apt,238,1,1,2020-08-28,0.49,5,363
45134075,Taksim Wide Suites Family Room for 4 persons,364481105,Selçuk,,Sisli,41.04402,28.98461,Private room,247,1,0,,,5,363
45135256,King Deluxe Sea View Suite In Historical Town,364486465,Erhan,,Fatih,41.01981,28.96178,Private room,150,1,0,,,7,363
45135343,Mini Nova Room 2,29310244,Veysel,,Fatih,41.00392,28.98164,Private room,129,1,0,,,4,358
45135673,Mini Nova Family Room,29310244,Veysel,,Fatih,41.00395,28.98112,Private room,241,1,0,,,4,362
45137436,Two Bedroom Apartment Near Galata Tower,332820813,Özgür,,Beyoglu,41.027,28.9755,Entire home/apt,598,1,0,,,10,360
45137643,Cozy Double Room In Historical Town,364486465,Erhan,,Fatih,41.01984,28.96189,Private room,121,1,0,,,7,362
45137910,Kadıköy-Acıbadem'de günlük kiralık oda,33338800,Mehmet,,Kadikoy,41.00178,29.04607,Private room,100,1,0,,,1,5
45138018,Cozy Double Room In Historical Town,364486465,Erhan,,Fatih,41.01984,28.96189,Private room,121,1,1,2020-09-23,0.86,7,363
45138587,Nice apartment,222724867,Ömer,,Esenyurt,41.02252,28.65981,Entire home/apt,175,20,0,,,13,67
45138604,1+1 Rm - in Levanten Area - Taksim/Beyoğlu,337779887,Goncagül,,Beyoglu,41.04023,28.98162,Entire home/apt,381,3,0,,,1,91
45138640,En Ekonomik Oda,294769628,Bülent,,Kadikoy,40.99411,29.04852,Private room,80,1,1,2020-10-23,1,3,64
45138809,Cozy Double Room In Historical Town,364486465,Erhan,,Fatih,41.01984,28.96186,Private room,121,1,3,2020-10-08,2.14,7,357
45138827,Kendi Odan Gibi (En Ekonomik Oda),294769628,Bülent,,Kadikoy,40.99434,29.04829,Private room,80,1,1,2020-09-14,0.68,3,342
45138874,flat near Taksim Square,363932716,Malik,,Beyoglu,41.03514,28.97389,Entire home/apt,130,1,4,2020-10-18,1.97,9,365
45138875,Economy Twin Room In Historical Town,364486465,Erhan,,Fatih,41.01983,28.96187,Private room,117,1,0,,,7,365
45139426,Fatih bölgesinde manzarasız oda,364534047,Mustafa,,Fatih,41.01347,28.9481,Private room,120,1,0,,,1,365
45139588,15Apartment with terrace in the central İstanbul15,263195754,Mahmut,,Sisli,41.05162,28.98733,Entire home/apt,483,3,0,,,6,365
45141395,Sadece bayanlar için temiz kiralık oda durak2 dk,151915601,Kübra,,Maltepe,40.9432,29.13952,Private room,80,2,0,,,1,364
45141479,clean and quiet room in taksim,363932716,Malik,,Beyoglu,41.03674,28.97341,Entire home/apt,110,1,9,2020-10-25,4.58,9,344
45141728,Sunset butik hotel,356512206,Onur,,Sile,41.13672,29.85107,Private room,400,1,0,,,2,365
45141937,Jana daire شقه للاجار السياحي 1+1,363062131,Mehmet,,Gaziosmanpasa,41.05246,28.91047,Entire home/apt,320,1,0,,,3,343
45142274,1+1 evde yatak odası kiralık,263136908,Ibrahim,,Pendik,40.93112,29.30845,Private room,81,1,0,,,1,363
45145148,Büyükada’nın nefes alan bölgesinde bahçeli daire,364555180,Nagihan,,Adalar,40.86793,29.12383,Entire home/apt,350,7,0,,,1,354
45145525,Kadıköy merkeze yakın oda,268545846,Sarp Kadir,,Kadikoy,40.99732,29.0331,Private room,80,1,0,,,1,90
45145634,Tiny & clean apartment,19363992,Oyku,,Beyoglu,41.0324,28.98258,Entire home/apt,328,3,2,2020-10-06,2,1,80
45145745,1+1 Luxury Flats in Nişantaşı,193432846,Ezgi,,Sisli,41.05622,28.98835,Entire home/apt,250,7,0,,,4,330
45146470,A local Home with a cat. 7 minute walking istiklal,87905773,Ruhi Durmuş,,Beyoglu,41.03403,28.96881,Private room,78,1,1,2020-09-10,0.63,1,331
45147026,Taksim Wide Suites Standart Triple Room 2,364481105,Selçuk,,Sisli,41.04333,28.98446,Private room,200,1,0,,,5,363
45147140,"Walking distance to Taksim,Nişantaşı and Metro",176523390,Zeynep,,Sisli,41.04797,28.98437,Private room,201,1,0,,,1,365
45147172,Taksim Wide Suites Standart Triple Room,364481105,Selçuk,,Sisli,41.04523,28.98484,Private room,200,1,0,,,5,363
45147441,Уютная квартира в центре Стамбула,310823124,Valentina,,Sisli,41.05372,28.97903,Entire home/apt,966,1,0,,,3,365
45147455,Taksim Wide Suites Double Room for 2 persons,364481105,Selçuk,,Sisli,41.04453,28.98441,Entire home/apt,162,1,2,2020-09-12,1.07,5,363
45147533,Comfortable Flat ın City Center,4827459,Güven,,Beyoglu,41.02877,28.98215,Entire home/apt,276,2,2,2020-10-06,1.18,8,363
